station,state,latitude,longitude,elevation,avg_temp,total_prcp
Glen Cove,CO,38.88,-105.07,3493.0,37.87113636363636,29.43702377
Golconda,NV,40.88,-117.59,2010.5,50.43363636363636,28.57875559
Gold Axe Camp,WA,48.95,-118.99,1633.7,44.62590909090909,11.47244714
Gold Center,OR,44.76,-118.31,1649.0,45.87022727272727,22.933083250000003
Gold Mountain,WA,48.19,-118.46,1338.1,46.15113636363636,20.97245227
Gooseberry RS Up,UT,38.79,-111.69,2560.3,46.24454545454545,19.669301960000002
Granite Crk,AK,63.94,-145.4,378.0,34.53363636363636,13.58662151
Granite Peak,NV,41.67,-117.57,2603.9,42.746818181818185,31.57875721
Grassy Lake,WY,44.13,-110.83,2214.4,40.24931818181818,44.79136277
Grave Creek,MT,48.91,-114.77,1310.6,42.95409090909091,30.24017381
Grave Springs,WY,43.47,-107.24,2606.0,41.323181818181816,14.04331467
Grayback,CO,37.47,-106.54,3541.8,38.09136363636364,28.563007550000002
Green Lake,WA,46.55,-121.17,1804.4,41.63545454545454,31.96458419
Green Mountain,NV,40.38,-115.53,2438.4,45.90909090909091,28.89371639
Greenpoint,OR,45.62,-121.7,1008.9,46.697272727272725,54.07483235
Gros Ventre Summit,WY,43.39,-110.13,2667.0,36.74045801526717,24.43702107
Grouse Camp,WA,47.28,-120.49,1642.9,43.575227272727275,20.374026750000002
Grouse Creek Divide,AK,60.26,-149.34,213.4,37.236363636363635,38.64962717
Gunsight Pass,WY,43.38,-109.88,2993.1,37.00659090909091,27.35434548
Gutz Peak,UT,37.5,-113.94,2061.4,52.572015209125475,21.27953905
HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,59.63761538461539,27.07088076
HAINES AP,AK,59.2433,-135.5094,4.6,43.66157692307692,29.33859852
HAMILTON BUTLER CO RGNL AP,OH,39.3644,-84.5247,193.2,58.56384615384616,34.07088454
HANCOCK HOUGHTON CO AP,MI,47.1686,-88.4889,333.8,43.941171875,23.94095781
HANFORD MUNI AP,CA,36.3189,-119.6289,75.9,68.05088461538462,8.31890213
HARLINGEN RIO GRANDE AP,TX,26.2281,-97.6542,10.4,78.91388461538462,13.04331413
HARRISBURG CPTL CY AP,PA,40.2172,-76.8514,103.6,58.83459459459459,27.74017246
HARRISON BOONE CO AP,AR,36.2667,-93.1567,418.8,62.351641221374045,35.27167259
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,54.04965648854962,33.3071046
HARTFORD BRAINARD FLD,CT,41.7361,-72.6506,5.8,54.84026923076923,27.60631412
HASTINGS MUNI AP,NE,40.6044,-98.4272,591.3,56.793615384615386,23.716548239999998
HATTIESBURG CHAIN MUNI AP,MS,31.2819,-89.2531,46.0,69.80618320610688,57.2047553
